location,country_code,latitude,longitude,confirmed,dead,recovered,updated
Delaware,us,38.9108325,-75.5276699,19137,618,None,2020-09-17 03:45:35.025537+00:00
Rajasthan,in,27.0238036,74.2179326,18014,413,14220,2020-07-01 06:48:22.696131+00:00
District of Columbia,us,38.9071923,-77.0368707,14687,616,None,2020-09-17 03:45:35.025537+00:00
Massachusetts,us,42.4072107,-71.3824374,132505,9219,None,2020-09-17 03:45:35.025537+00:00
Ohio,us,40.4172871,-82.907123,139486,4506,None,2020-09-17 03:45:35.025537+00:00
Occitanie,fr,43.8927232,3.2827625,4218,552,3384,2020-09-17 03:49:51.742404+00:00
Madhya Pradesh,in,22.9734229,78.6568942,13593,572,10395,2020-07-01 06:48:22.696131+00:00
Tamil Nadu,in,11.1271225,78.6568942,90167,1201,50074,2020-07-01 06:48:22.696131+00:00
Maranhão,br,-4.9609498,-45.2744159,57605,1399,31569,2020-06-12 00:00:00+00:00
Mizoram,in,23.164543,92.9375739,160,0,122,2020-07-01 06:48:22.696131+00:00
Odisha,in,20.9516658,85.0985236,7065,25,5189,2020-07-01 06:48:22.696131+00:00
Virginia,us,37.4315734,-78.6568942,135514,2839,None,2020-09-17 03:45:35.025537+00:00
Paraíba,br,-7.2399609,-36.7819505,26556,610,5620,2020-06-12 00:00:00+00:00
Roraima,br,2.7375971,-62.0750998,6842,197,1754,2020-06-12 00:00:00+00:00
Bourgogne-Franche-Comté,fr,47.2805127,4.9994372,5294,1068,4161,2020-09-17 03:49:51.752113+00:00
São Paulo,br,-23.5505199,-46.6333094,167900,10368,49295,2020-06-12 00:00:00+00:00
Rio de Janeiro,br,-22.9068467,-43.1728965,77784,7417,61690,2020-06-12 00:00:00+00:00
Paraná,br,-25.2520888,-52.0215415,8818,302,3044,2020-06-12 00:00:00+00:00
Piauí,br,-7.7183401,-42.7289236,9825,335,641,2020-06-12 00:00:00+00:00
Bremen*,de,53.0792962,8.8016936,1653,49,None,2020-06-26 06:32:46.221559+00:00
Provence-Alpes-Côte d'Azur,fr,43.9351691,6.0679194,8906,1059,7185,2020-09-17 03:49:51.757475+00:00
Hauts-de-France,fr,50.4801153,2.7937265,9942,1967,7526,2020-09-17 03:49:51.758039+00:00
Sachsen-Anhalt,de,51.9502649,11.6922734,2366,66,None,2020-09-17 03:50:23.407305+00:00
Nouvelle-Aquitaine,fr,45.7087182,0.626891,3178,451,2499,2020-09-17 03:49:51.743813+00:00
Auvergne-Rhône-Alpes,fr,45.4471431,4.3852507,11252,1816,8776,2020-09-17 03:49:51.748978+00:00
Dadra and Nagar Haveli and Daman and Diu,in,20.399701,72.8759971,213,0,82,2020-07-01 06:48:22.696131+00:00
Telangana,in,18.1124372,79.0192997,16339,260,7294,2020-07-01 06:48:22.696131+00:00
Alabama,us,32.3182314,-86.902298,141087,2392,0,2020-09-15 03:48:03.012143+00:00
Arizona,us,34.0489281,-111.0937311,209215,5346,None,2020-09-15 03:48:00.263063+00:00
Idaho,us,44.0682019,-114.7420408,36306,425,None,2020-09-15 03:48:00.263063+00:00
Louisiana,us,30.9842977,-91.9623327,159253,5278,None,2020-09-15 03:48:00.263063+00:00
Michigan,us,44.3148443,-85.6023643,124978,6933,None,2020-09-15 03:48:00.263063+00:00
Texas,us,31.9685988,-99.9018131,701509,14661,None,2020-09-15 03:48:00.263063+00:00
Florida,us,27.6648274,-81.5157535,668846,12787,None,2020-09-17 03:45:35.025537+00:00
Georgia,us,32.1656221,-82.9000751,296994,6397,0,2020-09-15 03:48:03.012143+00:00
Hawaii,us,19.8967662,-155.5827818,10951,99,None,2020-09-15 03:48:00.263063+00:00
South Carolina,us,33.836081,-81.1637245,133470,3098,None,2020-09-17 03:45:35.025537+00:00
Utah,us,39.3209801,-111.0937311,59017,436,None,2020-09-15 03:48:00.263063+00:00
Ontario,ca,51.253775,-85.323214,45383,2822,None,2020-09-16 00:00:00+00:00
Prince Edward Island,ca,46.510712,-63.4168136,57,0,None,2020-09-16 00:00:00+00:00
Yukon,ca,64.2823274,-135,15,0,None,2020-09-16 00:00:00+00:00
Nordrhein-Westfalen*,de,51.4332367,7.6615938,39777,1658,None,2020-06-19 06:34:13.021124+00:00
Jammu and Kashmir,in,33.778175,76.5761714,7497,101,4722,2020-07-01 06:48:22.696131+00:00
Jharkhand,in,23.6101808,85.2799354,2490,15,1884,2020-07-01 06:48:22.696131+00:00
Karnataka,in,15.3172775,75.7138884,15242,246,7918,2020-07-01 06:48:22.696131+00:00
Kerala,in,10.8505159,76.2710833,4442,24,2306,2020-07-01 06:48:22.696131+00:00
Ladakh,in,34.1599959,77.581808,973,1,648,2020-07-01 06:48:22.696131+00:00
Hessen,de,50.6520515,9.1624376,17084,542,None,2020-09-17 03:50:23.323235+00:00
Niedersachsen,de,52.6367036,9.8450766,18160,667,None,2020-09-17 03:50:23.346996+00:00
Rheinland-Pfalz,de,50.118346,7.3089527,9859,247,None,2020-09-17 03:50:23.371258+00:00
Sachsen,de,51.1045407,13.2017384,6467,226,None,2020-09-17 03:50:23.395337+00:00
